	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV_id	ASV_id	taxa_name
ASV1446	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1446]	ASV1446	o_Helotiales [1446]
ASV1447	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	Unknown	Unknown	Unknown	[1447]	ASV1447	o_Orbiliales [1447]
ASV1448	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	Unknown	Unknown	Unknown	[1448]	ASV1448	o_Leucosporidiales [1448]
ASV1449	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	Unknown	Unknown	Unknown	[1449]	ASV1449	o_Auriculariales [1449]
ASV1450	k__Fungi	p__Glomeromycota	c__Paraglomeromycetes	o__Paraglomerales	f__Paraglomeraceae	g__Paraglomus	s__laccatum	[1450]	ASV1450	g_Paraglomus s  laccatum [1450]
ASV1451	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chaetosphaeria	Unknown	[1451]	ASV1451	g_Chaetosphaeria [1451]
ASV1452	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1452]	ASV1452	p_Rozellomycota [1452]
ASV1453	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	Unknown	Unknown	[1453]	ASV1453	f_Ceratobasidiaceae [1453]
ASV1454	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiaceae	g__Myrmecridium	s__schulzeri	[1454]	ASV1454	g_Myrmecridium s  schulzeri [1454]
ASV1455	k__Fungi	p__Ascomycota	c__Eurotiomycetes	Unknown	Unknown	Unknown	Unknown	[1455]	ASV1455	c_Eurotiomycetes [1455]
ASV1456	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Leotiales	f__Mniaeciaceae	g__Epithamnolia	s__rangiferinae	[1456]	ASV1456	g_Epithamnolia s  rangiferinae [1456]
ASV1457	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Leotia	s__lubrica	[1457]	ASV1457	g_Leotia s  lubrica [1457]
ASV1458	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__rhodogenum	[1458]	ASV1458	g_Oidiodendron s  rhodogenum [1458]
ASV1459	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1459]	ASV1459	o_Helotiales [1459]
ASV1460	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Leotiales	f__Mniaeciaceae	g__Epithamnolia	s__rangiferinae	[1460]	ASV1460	g_Epithamnolia s  rangiferinae [1460]
ASV1461	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	g__Ceraceomyces	s__microsporus	[1461]	ASV1461	g_Ceraceomyces s  microsporus [1461]
ASV1462	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	Unknown	Unknown	[1462]	ASV1462	f_Ceratobasidiaceae [1462]
ASV1463	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	Unknown	Unknown	Unknown	[1463]	ASV1463	o_Pleosporales [1463]
ASV1464	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Harposporium	s__harposporiferum	[1464]	ASV1464	g_Harposporium s  harposporiferum [1464]
ASV1465	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Heyderia	s__abietis	[1465]	ASV1465	g_Heyderia s  abietis [1465]
ASV1466	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	Unknown	Unknown	[1466]	ASV1466	f_Venturiaceae [1466]
ASV1467	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Stachybotrys	Unknown	[1467]	ASV1467	g_Stachybotrys [1467]
ASV1468	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	Unknown	[1468]	ASV1468	g_Dominikia [1468]
ASV1469	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	Unknown	[1469]	ASV1469	g_Cortinarius [1469]
ASV1470	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	Unknown	Unknown	Unknown	[1470]	ASV1470	o_Orbiliales [1470]
ASV1471	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1471]	ASV1471	p_Rozellomycota [1471]
ASV1472	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	Unknown	Unknown	[1472]	ASV1472	f_Xylariaceae [1472]
ASV1473	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Xenosonderhenia	s__syzygii	[1473]	ASV1473	g_Xenosonderhenia s  syzygii [1473]
ASV1474	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1474]	ASV1474	p_Rozellomycota [1474]
ASV1475	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1475]	ASV1475	p_Ascomycota [1475]
ASV1476	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Articulospora	s__proliferata	[1476]	ASV1476	g_Articulospora s  proliferata [1476]
ASV1477	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	Unknown	Unknown	Unknown	[1477]	ASV1477	o_Leucosporidiales [1477]
ASV1478	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	Unknown	[1478]	ASV1478	g_Mortierella [1478]
ASV1479	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Stictidaceae	g__Cryptodiscus	Unknown	[1479]	ASV1479	g_Cryptodiscus [1479]
ASV1480	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Sampaiozyma	s__vanillica	[1480]	ASV1480	g_Sampaiozyma s  vanillica [1480]
ASV1481	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__Archaeosporaceae	g__Archaeospora	Unknown	[1481]	ASV1481	g_Archaeospora [1481]
ASV1482	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__gemmifera	[1482]	ASV1482	g_Mortierella s  gemmifera [1482]
ASV1483	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	Unknown	Unknown	Unknown	[1483]	ASV1483	o_Hypocreales [1483]
ASV1484	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__hennebertii	[1484]	ASV1484	g_Acremonium s  hennebertii [1484]
ASV1485	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Lecanicillium	s__praecognitum	[1485]	ASV1485	g_Lecanicillium s  praecognitum [1485]
ASV1486	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1486]	ASV1486	o_Helotiales [1486]
ASV1487	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	s__variabilis	[1487]	ASV1487	g_Hyaloscypha s  variabilis [1487]
ASV1488	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1488]	ASV1488	p_Ascomycota [1488]
ASV1489	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	Unknown	Unknown	[1489]	ASV1489	f_Ophiocordycipitaceae [1489]
ASV1490	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	Unknown	Unknown	[1490]	ASV1490	f_Serendipitaceae [1490]
ASV1491	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	Unknown	Unknown	Unknown	[1491]	ASV1491	o_Sordariales [1491]
ASV1492	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	Unknown	Unknown	Unknown	[1492]	ASV1492	o_Hypocreales [1492]
ASV1493	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	Unknown	[1493]	ASV1493	g_Mortierella [1493]
ASV1494	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Myrothecium	s__inundatum	[1494]	ASV1494	g_Myrothecium s  inundatum [1494]
ASV1495	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1495]	ASV1495	p_Rozellomycota [1495]
ASV1496	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1496]	ASV1496	p_Rozellomycota [1496]
ASV1497	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1497]	ASV1497	p_Ascomycota [1497]
ASV1498	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1498]	ASV1498	p_Ascomycota [1498]
ASV1499	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1499]	ASV1499	p_Rozellomycota [1499]
ASV1500	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Ceratocystidaceae	g__Ceratocystis	Unknown	[1500]	ASV1500	g_Ceratocystis [1500]
ASV1501	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Mollisia	s__cinerea	[1501]	ASV1501	g_Mollisia s  cinerea [1501]
ASV1502	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	Unknown	Unknown	[1502]	ASV1502	f_Ceratobasidiaceae [1502]
ASV1503	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Luellia	Unknown	[1503]	ASV1503	g_Luellia [1503]
ASV1504	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	Unknown	Unknown	[1504]	ASV1504	f_Cucurbitariaceae [1504]
ASV1505	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1505]	ASV1505	p_Ascomycota [1505]
ASV1506	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	Unknown	[1506]	ASV1506	g_Oidiodendron [1506]
ASV1507	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	Unknown	Unknown	Unknown	[1507]	ASV1507	o_Hypocreales [1507]
ASV1508	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1508]	ASV1508	p_Ascomycota [1508]
ASV1509	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	Unknown	Unknown	Unknown	[1509]	ASV1509	o_Auriculariales [1509]
ASV1510	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1510]	ASV1510	p_Rozellomycota [1510]
ASV1511	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	Unknown	[1511]	ASV1511	g_Trechispora [1511]
ASV1512	k__Fungi	p__Ascomycota	c__Dothideomycetes	Unknown	Unknown	Unknown	Unknown	[1512]	ASV1512	c_Dothideomycetes [1512]
ASV1513	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	Unknown	Unknown	Unknown	[1513]	ASV1513	o_Rhizophydiales [1513]
ASV1514	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidium	Unknown	[1514]	ASV1514	g_Ceratobasidium [1514]
ASV1515	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__ciliifera	[1515]	ASV1515	g_Pezoloma s  ciliifera [1515]
ASV1516	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Clathrosphaerina	Unknown	[1516]	ASV1516	g_Clathrosphaerina [1516]
ASV1517	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiaceae	g__Antennariella	s__placitae	[1517]	ASV1517	g_Antennariella s  placitae [1517]
ASV1518	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1518]	ASV1518	p_Ascomycota [1518]
ASV1519	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	Unknown	Unknown	Unknown	[1519]	ASV1519	o_Hypocreales [1519]
ASV1520	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Ramularia	Unknown	[1520]	ASV1520	g_Ramularia [1520]
ASV1521	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	s__virgineum	[1521]	ASV1521	g_Lachnum s  virgineum [1521]
ASV1522	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Pleotrichocladium	s__opacum	[1522]	ASV1522	g_Pleotrichocladium s  opacum [1522]
ASV1523	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	Unknown	Unknown	[1523]	ASV1523	f_Venturiaceae [1523]
ASV1524	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cuniculitremaceae	Unknown	Unknown	[1524]	ASV1524	f_Cuniculitremaceae [1524]
ASV1525	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	Unknown	Unknown	Unknown	[1525]	ASV1525	o_Rhizophydiales [1525]
ASV1526	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Leotiales	f__Mniaeciaceae	g__Epithamnolia	s__rangiferinae	[1526]	ASV1526	g_Epithamnolia s  rangiferinae [1526]
ASV1527	k__Fungi	p__Mortierellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1527]	ASV1527	p_Mortierellomycota [1527]
ASV1528	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1528]	ASV1528	o_Helotiales [1528]
ASV1529	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	Unknown	Unknown	Unknown	[1529]	ASV1529	o_Tremellales [1529]
ASV1530	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	Unknown	Unknown	Unknown	[1530]	ASV1530	o_Orbiliales [1530]
ASV1531	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	Unknown	Unknown	Unknown	[1531]	ASV1531	o_Coniochaetales [1531]
ASV1532	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1532]	ASV1532	p_Ascomycota [1532]
ASV1533	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	Unknown	Unknown	Unknown	[1533]	ASV1533	o_Hymenochaetales [1533]
ASV1534	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Krasilnikovozyma	Unknown	[1534]	ASV1534	g_Krasilnikovozyma [1534]
ASV1535	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	Unknown	Unknown	[1535]	ASV1535	f_Clavariaceae [1535]
ASV1536	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Mollisia	s__cinerea	[1536]	ASV1536	g_Mollisia s  cinerea [1536]
ASV1537	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiales_fam_Incertae_sedis	g__Microcyclospora	s__tardicrescens	[1537]	ASV1537	g_Microcyclospora s  tardicrescens [1537]
ASV1538	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1538]	ASV1538	p_Ascomycota [1538]
ASV1539	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	Unknown	Unknown	[1539]	ASV1539	f_Ceratobasidiaceae [1539]
ASV1540	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	Unknown	Unknown	Unknown	[1540]	ASV1540	o_Capnodiales [1540]
ASV1541	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[1541]	ASV1541	c_Sordariomycetes [1541]
ASV1542	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Pseudorobillarda	s__phragmitis	[1542]	ASV1542	g_Pseudorobillarda s  phragmitis [1542]
ASV1543	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[1543]	ASV1543	c_Sordariomycetes [1543]
ASV1544	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	Unknown	Unknown	[1544]	ASV1544	f_Dermateaceae [1544]
ASV1545	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[1545]	ASV1545	c_Sordariomycetes [1545]
ASV1546	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Dactylella	s__rhopalota	[1546]	ASV1546	g_Dactylella s  rhopalota [1546]
ASV1547	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	Unknown	Unknown	[1547]	ASV1547	f_Nectriaceae [1547]
ASV1548	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1548]	ASV1548	p_Ascomycota [1548]
ASV1549	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1549]	ASV1549	o_Helotiales [1549]
ASV1550	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	Unknown	[1550]	ASV1550	g_Serendipita [1550]
ASV1551	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[1551]	ASV1551	c_Sordariomycetes [1551]
ASV1552	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Capronia	Unknown	[1552]	ASV1552	g_Capronia [1552]
ASV1553	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporobolomyces	Unknown	[1553]	ASV1553	g_Sporobolomyces [1553]
ASV1554	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Pseudofabraea	s__citricarpa	[1554]	ASV1554	g_Pseudofabraea s  citricarpa [1554]
ASV1555	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	Unknown	[1555]	ASV1555	g_Mortierella [1555]
ASV1556	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	Unknown	Unknown	Unknown	[1556]	ASV1556	o_Hypocreales [1556]
ASV1557	k__Fungi	p__Kickxellomycota	c__Kickxellomycetes	o__Kickxellales	f__Kickxellaceae	g__Spiromyces	s__aspiralis	[1557]	ASV1557	g_Spiromyces s  aspiralis [1557]
ASV1558	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	Unknown	Unknown	[1558]	ASV1558	f_Sclerotiniaceae [1558]
ASV1559	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1559]	ASV1559	p_Rozellomycota [1559]
ASV1560	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__fortinii	[1560]	ASV1560	g_Phialocephala s  fortinii [1560]
ASV1561	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1561]	ASV1561	p_Rozellomycota [1561]
ASV1562	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1562]	ASV1562	p_Rozellomycota [1562]
ASV1563	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[1563]	ASV1563	c_Sordariomycetes [1563]
ASV1564	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	s__aerugineus	[1564]	ASV1564	g_Talaromyces s  aerugineus [1564]
ASV1565	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	Unknown	Unknown	[1565]	ASV1565	f_Herpotrichiellaceae [1565]
ASV1566	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	Unknown	Unknown	[1566]	ASV1566	f_Chaetosphaeriaceae [1566]
ASV1567	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	Unknown	[1567]	ASV1567	g_Serendipita [1567]
ASV1568	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	s__carneolum	[1568]	ASV1568	g_Lachnum s  carneolum [1568]
ASV1569	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Rhytismatales	f__Cudoniaceae	g__Cudonia	s__confusa	[1569]	ASV1569	g_Cudonia s  confusa [1569]
ASV1570	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Rhytismatales	f__Rhytismataceae	g__Lophodermium	s__herbarum	[1570]	ASV1570	g_Lophodermium s  herbarum [1570]
ASV1571	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1571]	ASV1571	p_Rozellomycota [1571]
ASV1572	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1572]	ASV1572	p_Rozellomycota [1572]
ASV1573	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Chaetothyriales_fam_Incertae_sedis	g__Sarcinomyces	Unknown	[1573]	ASV1573	g_Sarcinomyces [1573]
ASV1574	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Mastigobasidium	Unknown	[1574]	ASV1574	g_Mastigobasidium [1574]
ASV1575	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Humicola	s__nigrescens	[1575]	ASV1575	g_Humicola s  nigrescens [1575]
ASV1576	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Ophiocordyceps	s__macroacicularis	[1576]	ASV1576	g_Ophiocordyceps s  macroacicularis [1576]
ASV1577	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[1577]	ASV1577	c_Sordariomycetes [1577]
ASV1578	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	Unknown	Unknown	Unknown	[1578]	ASV1578	o_Sordariales [1578]
ASV1579	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidales	f__Gloniaceae	g__Cenococcum	s__geophilum	[1579]	ASV1579	g_Cenococcum s  geophilum [1579]
ASV1580	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	Unknown	Unknown	Unknown	[1580]	ASV1580	o_Glomerellales [1580]
ASV1581	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Massarinaceae	g__Stagonospora	s__pseudovitensis	[1581]	ASV1581	g_Stagonospora s  pseudovitensis [1581]
ASV1582	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	Unknown	[1582]	ASV1582	g_Acremonium [1582]
ASV1583	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1583]	ASV1583	o_Helotiales [1583]
ASV1584	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__GS05	Unknown	Unknown	Unknown	[1584]	ASV1584	o_Rozellomycotina GS05 [1584]
ASV1585	k__Fungi	p__Ascomycota	c__Dothideomycetes	Unknown	Unknown	Unknown	Unknown	[1585]	ASV1585	c_Dothideomycetes [1585]
ASV1586	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	Unknown	Unknown	Unknown	[1586]	ASV1586	o_Leucosporidiales [1586]
ASV1587	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Trichophaea	Unknown	[1587]	ASV1587	g_Trichophaea [1587]
ASV1588	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	Unknown	Unknown	Unknown	[1588]	ASV1588	o_Atheliales [1588]
ASV1589	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1589]	ASV1589	o_Helotiales [1589]
ASV1590	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__Umbelopsidales	f__Umbelopsidaceae	g__Umbelopsis	Unknown	[1590]	ASV1590	g_Umbelopsis [1590]
ASV1591	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Tremella	s__indecorata	[1591]	ASV1591	g_Tremella s  indecorata [1591]
ASV1592	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	Unknown	Unknown	[1592]	ASV1592	f_Hydnodontaceae [1592]
ASV1593	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Hypomyces	s__luteovirens	[1593]	ASV1593	g_Hypomyces s  luteovirens [1593]
ASV1594	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	Unknown	Unknown	Unknown	Unknown	[1594]	ASV1594	c_Archaeorhizomycetes [1594]
ASV1595	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lentitheciaceae	g__Keissleriella	s__poagena	[1595]	ASV1595	g_Keissleriella s  poagena [1595]
ASV1596	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[1596]	ASV1596	p_Ascomycota [1596]
ASV1597	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	Unknown	[1597]	ASV1597	g_Pseudogymnoascus [1597]
ASV1598	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Chalara	s__pseudoaffinis	[1598]	ASV1598	g_Chalara s  pseudoaffinis [1598]
ASV1599	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[1599]	ASV1599	o_Helotiales [1599]
ASV1600	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	s__aurea	[1600]	ASV1600	g_Dominikia s  aurea [1600]
